game,price
b'Dead or Alive 6 Jeu PS4',b'49\xe2\x82\xac99'
b'Dead or Alive 6 Jeu Xbox One',b'49\xe2\x82\xac99'
b'Dark Souls Trilogy Jeu Xbox One',b'54\xe2\x82\xac99'
b'Dark Souls Trilogy Jeu PS4',b'54\xe2\x82\xac99'
b'La Grande Aventure LEGO 2 Jeu XBOX One',b'39\xe2\x82\xac58'
b'La Grande Aventure LEGO 2 Jeu PS4',b'34\xe2\x82\xac99'
b'Trials Rising \xc3\x89dition Gold Jeu PS4',b'33\xe2\x82\xac99'
b'Trials Rising \xc3\x89dition Gold Jeu Switch',b'33\xe2\x82\xac99'
b'Rad Rodgers Radical \xc3\x89dition Jeu Switch',b'29\xe2\x82\xac99'
b'Trials Rising \xc3\x89dition Gold Jeu Xbox One',b'33\xe2\x82\xac99'
b'Dirt Rally 2.0 Day One \xc3\x89dition Jeu PS4',b'49\xe2\x82\xac99'
b'Dirt Rally 2.0 Day One \xc3\x89dition Jeu Xbox One',b'49\xe2\x82\xac99'
b'Pack PS4 500 Go + FIFA 19 + 2\xc3\xa8me manette DualShock 4 Noire V2',b'379\xe2\x82\xac99'
b'Xbox One S 1 To Minecraft Creator + 2e manette + Crackdown 3 + Gears of war 4 (Jeu d\xc3\xa9mat\xc3\xa9rialis\xc3\xa9)',b'353\xe2\x82\xac49'
b'Pack Console Nintendo Switch N\xc3\xa9on + Super Smash Bros Ultimate',b'354\xe2\x82\xac99'
b'Pack PS4 Pro 1 To Noire + PlayerUnknown\xe2\x80\x99s Battlegrounds - PUBG',b'399\xe2\x82\xac99'
b'Console Xbox One S 1 To Forza Horizon 4 + CrackDown 3 Jeu Xbox One + Manette sans fil Xbox One Blanche compatible PC',b'364\xe2\x82\xac39'
b'Console Nintendo Switch N\xc3\xa9on + Super Mario Party',b'345\xe2\x82\xac99'
b'PS4 500 Go Noire',b'299\xe2\x82\xac99'
b'Xbox One X 1 To Fallout 76 Edition limit\xc3\xa9e Robot White',b'453\xe2\x82\xac99'
"b""Pack Nintendo Switch N\xc3\xa9on + Super Mario Party + Pok\xc3\xa9mon : Let's go, Pikachu""",b'394\xe2\x82\xac99'
b'Pack PS4 500 Go + Call of Duty Black Ops 4',b'324\xe2\x82\xac99'
b'Console Xbox One X 1 To Fallout 76 Ed. limit\xc3\xa9e Robot White + CrackDown 3 Jeu Xbox One + Manette sans fil Xbox One Blanche',b'544\xe2\x82\xac39'
b'Pack Nintendo Switch N\xc3\xa9on + Mario Kart 8 deluxe + volants XL',b'349\xe2\x82\xac99'
b'Anthem Jeu PS4',b'54\xe2\x82\xac99'
b'Tour de cou Super Smash Bros',b'0\xe2\x82\xac10'
b'Jump Force Jeu PS4',b'51\xe2\x82\xac99'
b'New Super Mario Bros U Deluxe Jeu Switch',b'52\xe2\x82\xac99'
b'Mario Kart 8 Deluxe Jeu Switch',b'45\xe2\x82\xac99'
b'Manettes Joy-Con Bleu N\xc3\xa9on / Rouge N\xc3\xa9on pour Console Switch',b'69\xe2\x82\xac90'
b'Console Nintendo Switch avec un Joy-Con droit rouge n\xc3\xa9on et un Joy-Con gauche bleu n\xc3\xa9on',b'299\xe2\x82\xac99'
b'Manettes Joy-Cons Jaunes N\xc3\xa9on pour Console Switch',b'72\xe2\x82\xac99'
b'Super Mario Party Jeu Switch',b'49\xe2\x82\xac90'
b'Minecraft Jeu switch',b'28\xe2\x82\xac04'
b'PS4 500 Go Noire',b'299\xe2\x82\xac99'
b'Far Cry New Dawn Jeu PS4',b'34\xe2\x82\xac99'
b'Devil May Cry 5 Jeu Xbox One + manette filaire PDP Afterglow Prismatic',b'64\xe2\x82\xac90'
b'Destiny 2 Renegats Collection L\xc3\xa9gendaire Jeu Xbox One',b'58\xe2\x82\xac19'
b'Pack 2 jeux PS4 : Spyro Reignited Trilogy + Crash Bandicoot N-SANE Trilogy',b'64\xe2\x82\xac99'
b'Destiny 2 Renegats Collection L\xc3\xa9gendaire Jeu PS4',b'26\xe2\x82\xac99'
b'Spyro Reignited Trilogy Jeu Xbox One',b'29\xe2\x82\xac99'
b'Manette sans fil Xbox One Noire + Destiny 2',b'74\xe2\x82\xac09'
b'Crash Bandicoot N. Sane Trilogy Jeu Xbox One',b'29\xe2\x82\xac99'
b'Monster Hunter Generations Ultimate Jeu Switch',b'48\xe2\x82\xac95'
b'FIFA 19 Jeu PS4',b'39\xe2\x82\xac99'
b'Pack Battlefield V Jeu PS4 + Abonnement Playstation Plus 3 Mois',b'61\xe2\x82\xac99'
b'Pack FIFA 19 Jeu PS4 + Manette DualShock 4 Noire',b'89\xe2\x82\xac99'
b'Pack PS4 500 Go + 2 jeux : FIFA 19 + Red Dead Redemption 2',b'369\xe2\x82\xac99'
"b""Luigi's Mansion Jeu 3DS""",b'31\xe2\x82\xac16'
b'FIFA 19 Jeu PS4',b'39\xe2\x82\xac99'
b'Shadow of the Tomb Raider Jeu PS4',b'48\xe2\x82\xac99'
b'FIFA 19 Jeu Xbox One',b'39\xe2\x82\xac99'
b'FIFA 18 Jeu PS4',b'24\xe2\x82\xac99'
b'Boitier bleu range jeux et carte SD pour Switch',b'3\xe2\x82\xac79'
b'WarioWare Gold Jeu 3DS',b'31\xe2\x82\xac26'
b'Mario Tennis Aces Jeu Switch',b'49\xe2\x82\xac99'
b'Destiny 2 Renegats Collection L\xc3\xa9gendaire Jeu PS4',b'26\xe2\x82\xac99'
b'NBA 2K19 Jeu Switch',b'47\xe2\x82\xac76'
b'The Evil Within 2 Jeu Xbox One',b'19\xe2\x82\xac76'
b'Pack Access. Dragon Ball Z Konix pour 3DS/3DS XL/New 3DS/New 3DS XL/New 2DS/New 2DS XL',b'3\xe2\x82\xac60'
b'Anthem Jeu PS4',b'54\xe2\x82\xac99'
b'New Super Mario Bros U Deluxe Jeu Switch',b'52\xe2\x82\xac99'
b'Mario Kart 8 Deluxe Jeu Switch',b'45\xe2\x82\xac99'
b'Far Cry New Dawn Jeu PS4',b'34\xe2\x82\xac99'
b'Jump Force Jeu PS4',b'51\xe2\x82\xac99'
b'Anthem Jeu Xbox One',b'54\xe2\x82\xac99'
b'Metro Exodus Jeu PS4',b'49\xe2\x82\xac99'
b'Super Mario Party Jeu Switch',b'49\xe2\x82\xac90'
b'Super Smash Bros Ultimate Jeu Switch',b'54\xe2\x82\xac99'
b'Red Dead Redemption 2 Jeu PS4',b'39\xe2\x82\xac99'
b'Far Cry New Dawn Jeu Xbox One',b'34\xe2\x82\xac99'
b'Metro Exodus Jeu Xbox One',b'53\xe2\x82\xac99'
"b'Manette filaire Pro4  Olympique De Marseille pour PS4, PS3 et PC'",b'25\xe2\x82\xac29'
b'Manette sans fil Xbox One blanche compatible PC',b'44\xe2\x82\xac99'
"b""Pack d'accessoires Steelplay 11 en 1 pour Switch""",b'21\xe2\x82\xac99'
b'Manette PS4 DualShock 4 Noire V2',b'52\xe2\x82\xac29'
b'Manette sans fil Xbox One Edition Sp\xc3\xa9ciale Armed Forces II',b'49\xe2\x82\xac99'
b'Malette de rangement rigide et anti-choc Subsonic pour Switch',b'14\xe2\x82\xac90'
b'Kit De Luxe Olympique Lyonnais pour manette PS4',b'12\xe2\x82\xac99'
b'Manette sans fil Xbox One Noire + Kit Play and Charge Steelplay pour manette Xbox One avec 2 batteries + c\xc3\xa2ble',b'55\xe2\x82\xac13'
b'Duo de Grips bleus Olympique De Marseille pour manette Switch',b'9\xe2\x82\xac99'
b'Manette Revolution Pro Controller 2 Nacon pour PS4',b'99\xe2\x82\xac95'
b'Manette Xbox One sans fil Elite blanche + Kit Play and Charge Steelplay pour manette Xbox One avec 2 batteries + c\xc3\xa2ble',b'149\xe2\x82\xac10'
b'Ecran de protection en verre tremp\xc3\xa9 pour Switch',b'9\xe2\x82\xac99'
b'Porte-cl\xc3\xa9s Nintendo: Manette SNES',b'2\xe2\x82\xac60'
b'Tour de cou Super Smash Bros',b'0\xe2\x82\xac10'
b'Carte Collector n\xc2\xb08 Star Wars',b'0\xe2\x82\xac08'
b'Guide de jeu Red Dead Redemption 2 - Edition Collector',b'29\xe2\x82\xac99'
b'Figurine Plamax: SG-02 Machine Caliber X3752',b'116\xe2\x82\xac22'
b'Cadre 3D Mario Odyssey',b'9\xe2\x82\xac45'
b'Figurine Figma Arena Ultimax : Yu Narukami',b'56\xe2\x82\xac94'
b'Figurine Figma Expelled from Paradise : Angela Balzac',b'57\xe2\x82\xac51'
b'Figurine One Piece - Portrait of Pirates Neo-Ex: Killer',b'81\xe2\x82\xac45'
b'Figurine Funko Pop! Stranger Things : Hopper',b'9\xe2\x82\xac99'
